	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3
Cluster-358.0	0	0	0	0	1	1	1	0	0	5	2	2
Cluster-359.0	0	0	0	0	8	2	0	0	0	1	0	0
Cluster-360.0	0	0	0	1	1	0	1	2	8	0	0	0
Cluster-360.1	5	1	1	0	2	0	3	7	3	1	0	0
Cluster-361.0	0	0	0	0	1	3	0	1	0	2	2	2
Cluster-362.0	0	0	0	0	1	1	1	0	0	4	1	3
Cluster-363.0	0	0	0	0	4	0	2	1	1	2	2	0
Cluster-364.0	0	0	1	0	1	0	4	0	0	4	2	4
Cluster-364.1	1	2	13	8	16	11	24	12	7	41	84	21
Cluster-365.0	0	0	0	0	1	0	3	3	2	1	0	0
Cluster-366.0	0	0	0	0	1	1	2	3	3	1	1	1
Cluster-367.0	0	0	0	0	1	0	0	0	7	5	0	0
